시군명,관광정보명,전화번호,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,위도,경도
성남시,수내동가옥,031-756-1082,2021-03-05,경기도 성남시 분당구 성남대로 550,경기도 성남시 분당구 수내동 65번지,13598,37.38030055,127.1211729
남양주시,궁집,031-1600-0064,2021-03-05,경기도 남양주시 평내로 9,경기도 남양주시 평내동 427-5번지,12224,37.6443217,127.2309106
성남시,봉국사 목조아미타여래좌상,,2021-03-05,경기도 성남시 수정구 태평로 79,경기도 성남시 수정구 태평동 216-2번지,13283,37.45035507,127.1354046
용인시,장욱진 가옥,031-283-1911,2021-03-05,경기도 용인시 기흥구 마북로 119-8 화가장욱진고택,경기도 용인시 기흥구 마북동 238번지 화가장욱진고택,16910,37.3013901,127.1201925
용인시,용인 서리 고려백자요지,,2021-03-05,"경기도 용인시 처인구 이동면 중덕로 7, 외 (서리)",,17126,,
용인시,서봉사 현오국사탑비,,2021-03-05,경기도 용인시 수지구 신봉동 서봉사지,경기도 용인시 수지구 신봉동 서봉사지,,,
용인시,용인 미평리 약사여래입상,,2021-03-05,경기도 용인시 처인구 원삼면 미평리,경기도 용인시 처인구 원삼면 미평리,,,
용인시,용덕사 석조여래입상,,2021-03-05,경기도 용인시 처인구 이동읍 묵리,경기도 용인시 처인구 이동읍 묵리,,,
용인시,민영환 선생 묘,,2021-03-05,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 마북동,,,
의왕시,청계사 사적기비,031-426-2670,2021-03-05,경기도 의왕시 청계동11,경기도 의왕시 청계동 11,16000,37.41207254,127.0348718
수원시,수원광주이씨고택수원광주이씨고택,,2021-03-05,경기도 수원시 장안구 파장천로 56-9 (파장동),경기도 수원시 장안구 파장동 383번지,16204,37.30975694,126.9974053
수원시,서북공심돈,,2021-03-05,경기도 수원시 장안구 영화동 372-1,경기도 수원시 장안구 영화동 372-1,,37.28587648,127.0093322
용인시,양지향교,031-324-2147,2021-03-05,경기도 용인시 처인구 양지면 향교로13번길 20,경기도 용인시 처인구 양지면 양지리 379번지,17158,37.23866301,127.2860137
김포시,우저서원,031-985-9692,2021-03-05,경기도 김포시 중봉로25번길 87,경기도 김포시 감정동 492번지,10103,37.62671452,126.6939257
광주시,청량당,031-760-4822,2021-03-05,경기도 광주시 중부면 산성리 815-2,경기도 광주시 남한산성면 산성리 815-2,12700,37.47977334,127.1761764
용인시,충렬서원,031-324-2147,2021-03-05,경기도 용인시 처인구 모현읍 충렬로 9-19,경기도 용인시 처인구 모현읍 능원리 118-1번지,16884,37.34108377,127.1701182
고양시,고양향교,031-8075-3396,2021-03-05,경기도 고양시 덕양구 대양로285번길 33-13 (고양동),경기도 고양시 덕양구 고양동 306번지,10273,37.70373637,126.8949503
의왕시,하우현 성당,031-426-8921,2021-03-05,경기도 의왕시 청계동 201,경기도 의왕시 청계동 201,16011,37.39597478,127.0237413
의왕시,모락산성,,2021-03-05,경기도 의왕시 내손동 산 122번지,경기도 의왕시 내손동 산 122번지,,37.36920001,126.9765105
의왕시,한익모 선생묘,031-345-2533,2021-03-05,경기도 의왕시 월암동 산 27-1,경기도 의왕시 월암동 산 27-1,,37.30709652,126.9586424
의왕시,채세영선생묘 및 신도비,031-345-2533,2021-03-05,경기도 의왕시 포일동 산12,경기도 의왕시 포일동 산12,,37.39730539,126.9979694
의왕시,안자묘,031-345-2533,2021-03-05,경기도 의왕시 왕곡동 산 4-1번지,경기도 의왕시 왕곡동 산 4-1번지,16066,37.34994121,127.0082703
의왕시,정인섭동요비,031-458-3452,2021-03-05,경기도 의왕시 청계동 산11 천주교 공원묘지 내,경기도 의왕시 청계동 산11 천주교 공원묘지 내,,,
의왕시,사근행궁터,031-345-2533,2021-03-05,경기도 의왕시 사그내길 11,경기도 의왕시 고천동 272-2번지,16063,37.34768365,126.9758249
의왕시,갈미한글공원,031-345-2533,2021-03-05,경기도 의왕시 문화예술로 일원(내손동 207번지),,,,
과천시,보광사 목조여래좌상,,2021-03-05,경기도 과천시 교육원로 41 보광사 내,경기도 과천시 갈현동 산126-21번지 보광사 내,13841,37.42278948,126.9847839
과천시,과천관악사지,,2021-03-05,경기도 과천시 중앙동 산12-1 중앙동 산12-9,경기도 과천시 중앙동 산12-1 중앙동 산12-9,,,
과천시,시흥 문원리 삼층석탑,,2021-03-05,경기도 과천시 교육원로 41,경기도 과천시 갈현동 산126-21번지,13841,37.42278948,126.9847839
과천시,역대 현감비석군,,2021-03-05,경기도 과천시 관악산길 58,경기도 과천시 관문동 107-5번지,13801,37.43608282,126.9926959
성남시,망경암 마애여래좌상,,2021-03-05,경기도 성남시 수정구 태평로 55번길 72,경기도 성남시 수정구 복정동 553-1번지,13116,37.45355143,127.1371981
고양시,행주산성,031-8075-4642,2021-03-05,경기도 고양시 덕양구 행주내동 산 26,경기도 고양시 덕양구 행주내동 산 26,,,
포천시,지장산,031-538-4652,2021-03-05,경기도 포천시 관인면 중리 산251-1,경기도 포천시 관인면 중리 산251-1,11100,,
포천시,포천고모리산성,031-538-2106,2021-03-05,경기도 포천시 소흘읍 고모리 산 64,경기도 포천시 소흘읍 고모리 산 64,11185,37.78858932,127.1574707
평택시,평택원정리봉수대,031-655-2002,2021-03-05,경기도 평택시 포승읍 원정리 109-54,경기도 평택시 포승읍 원정리 109-54,17949,,
이천시,설봉산성,031-644-2114,2021-03-05,경기도 이천시 사음동 산24,경기도 이천시 사음동 산24,17308,37.28691232,127.4187143
오산시,독산성 세마대지,031-8036-7604,2021-03-05,경기도 오산시 지곶동 155,경기도 오산시 지곶동 155,18102,37.18260807,127.0189181
연천군,연천호로고루,031-839-2144,2021-03-05,경기도 연천군 장남면 원당리 1258,경기도 연천군 장남면 원당리 1258,11050,37.98575472,126.8595821
김포시,문수산성,031-920-2965,2021-03-05,경기도 김포시 월곶면 문수산로 102-38,경기도 김포시 월곶면 성동리 233번지,10000,37.73782684,126.5308936
여주시,파사성,031-887-3562,2021-03-05,경기도 여주시 대신면 천서리 산9,경기도 여주시 대신면 천서리 산9,12608,37.41050638,127.5488059
양주시,양주대모산성,,2021-03-05,경기도 양주시 백석읍 방성리 789 일원,경기도 양주시 백석읍 방성리 789 일원,11511,37.78692463,127.0102383
안성시,무양산성(무한성),031-678-2504,2021-03-05,경기도 안성시 일죽면 금산리 산48,경기도 안성시 일죽면 금산리 산48,17533,37.05618819,127.4886845
안성시,금광산성,031-677-1330,2021-03-05,경기도 안성시 금광면 금광리 산64,경기도 안성시 금광면 금광리 산64,,36.99513575,127.3232079
연천군,당포성,031-839-2289,2021-03-05,경기도 연천군 미산면 동이리 778,경기도 연천군 미산면 동이리 778,11047,38.02353503,126.985514
안산시,청문당,031-481-3437,2021-03-05,경기도 안산시 상록구 청곡길 77,경기도 안산시 상록구 부곡동 261-15번지,15301,37.33940401,126.8729136
안산시,고송정지,031-481-3437,2021-03-05,경기도 안산시 화정동 산58,경기도 안산시 단원구 화정동 산58,,37.35910981,126.8351592
안산시,이익선생묘소,031-481-3437,2021-03-05,경기도 안산시 상록구 일동 555,경기도 안산시 상록구 일동 555,15321,37.31611871,126.8598816
남양주시,순강원,031-563-2909,2021-03-05,경기도 남양주시 진접읍 내각2로 84-31,경기도 남양주시 진접읍 내각리 150번지,12071,37.71217275,127.1573387
동두천시,삼충단,031-860-2064,2021-03-05,경기도 동두천시 상패동 894,경기도 동두천시 상패동 894,11335,37.9131,127.0210994
광주시,곤지암,031-760-4822,2021-03-05,경기도 광주시 곤지암읍 곤지암로 72,경기도 광주시 곤지암읍 곤지암리 453-20번지,12804,37.34954629,127.3387438
광명시,이순신묘,02-2680-6142,2021-03-05,경기도 광명시 일직동 산 26-7,경기도 광명시 일직동 산 26-7,,37.42313436,126.8779007
고양시,고려공양왕릉,031-909-9000,2021-03-05,경기도 고양시 덕양구 원당동 산65-6,경기도 고양시 덕양구 원당동 산65-6,10290,37.67990318,126.838838
평택시,원균장군묘,031-659-6018,2021-03-05,경기도 평택시 도일동 산 82,경기도 평택시 도일동 산 82,,37.05501946,127.1071668
파주시,윤관장군묘,031-947-3330,2021-03-05,경기도 파주시 광탄면 혜음로 930,경기도 파주시 광탄면 분수리 산4-1번지,10954,37.76766367,126.8552586
파주시,성혼선생묘,031-940-5831,2021-03-05,경기도 파주시 파주읍 향양리 산 8-2,경기도 파주시 파주읍 향양리 산 8-2,,37.85413783,126.814557
파주시,허준선생묘,031-940-5831,2021-03-05,경기도 파주시 진동면 구암로 205,경기도 파주시 진동면 하포리 산129번지,10800,37.92859662,126.8148497
구리시,나만갑선생신도비,031-550-2546,2021-03-05,경기도 구리시 사노동 산163,경기도 구리시 사노동 산163,,37.63464246,127.135116
남양주시,흥선대원군묘,031-590-2067,2021-03-05,경기도 남양주시 화도읍 가구단지중앙길 108-19,경기도 남양주시 화도읍 녹촌리 산22-2번지,12178,37.65117411,127.2896649
양평군,한음이덕형선생묘,031-770-2474,2021-03-05,경기도 양평군 양서면 목왕리 산 82-1,경기도 양평군 양서면 목왕리 산 82-1,12579,37.55332179,127.3691286
안성시,바우덕이묘,031-678-2502,2021-03-05,경기도 안성시 서운면 성진로 1279-76,경기도 안성시 서운면 청용리 278번지,17609,36.90893727,127.2758698
고양시,최영장군묘,031-8075-3396,2021-03-05,경기도 고양시 덕양구 대자동 산70-2,경기도 고양시 덕양구 대자동 산70-2,10280,37.70126708,126.885951
광명시,가학동지석묘,02-2680-6142,2021-03-05,경기도 광명시 가학동 산104,경기도 광명시 가학동 산104,14339,37.40829728,126.8565101
구리시,명빈묘,031-550-2546,2021-03-05,경기도 구리시 아천동 산14,경기도 구리시 아천동 산14,,37.57059371,127.1161558
수원시,동북공심돈,031-228-3643,2021-03-05,경기도 수원시 장안구 연무동 산21-8,경기도 수원시 장안구 연무동 산21-8,,37.28943373,127.0245004
수원시,창성사지 진각국사탑비,,2021-03-05,경기도 수원시 팔달구 수원천로392번길 372(매향동),,,,
수원시,화홍문,031-251-4435,2021-03-05,경기도 수원시 팔달구 북수동 420,경기도 수원시 팔달구 북수동 420,16253,37.28831764,127.01664
수원시,화성행궁,031-2287-4410,2021-03-05,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2번지,16258,37.28188483,127.0143989
수원시,장안문,031-228-4480,2021-03-05,경기도 수원시 팔달구 정조로 910,경기도 수원시 팔달구 장안동 329번지,16253,37.28903156,127.0140822
수원시,서장대,,2021-03-05,경기도 수원시 팔달구 남창동 55-23,경기도 수원시 팔달구 남창동 55-23,16260,37.28059641,127.0102226
포천시,포천영송리선사유적,031-538-2106,2021-03-05,경기도 포천시 영중면 영송리 158-2,경기도 포천시 영중면 영송리 158-2,,38.00948091,127.2242716
파주시,덕은리 주거지 및 지석묘군,031-940-5831,2021-03-05,경기도 파주시 월롱면 옥돌내길 123,경기도 파주시 월롱면 덕은리 508-1번지,10844,37.8131556,126.7766093
연천군,전곡선사박물관,031-830-5600,2021-03-05,경기도 연천군 전곡읍 평화로 443번길 2,경기도 연천군 전곡읍 전곡리 170-2번지,11027,38.01159257,127.0637688
부천시,고강동 선사유적지,,2021-03-05,경기도 부천시 고강동 산 90(고강동),경기도 부천시 고강동 산 90(고강동),14411,37.52433265,126.8169457
연천군,연천급수탑,031-839-2061,2021-03-05,경기도 연천군 연천읍 연천로 273-7,경기도 연천군 연천읍 차탄리 34-33번지,11014,38.10150592,127.074184
평택시,팽성읍객사,031-8024-5620,2021-03-05,경기도 평택시 동서촌로 101-3,경기도 평택시 팽성읍 객사리 117번지,17990,36.96488468,127.0632867
하남시,하남 동사지,031-790-5572,2021-03-05,경기도 하남시 서하남로418번길 73,경기도 하남시 춘궁동 457-3번지,13016,37.51817505,127.1860769
화성시,제암리 3·1운동순국기념관,031-369-1663,2021-03-05,경기도 화성시 향남읍 제암길 50,경기도 화성시 향남읍 제암리 392-2번지,18595,37.12630392,126.8915961
고양시,두루미(단정학),,2021-03-05,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,10400,37.66446508,126.7604466
광주시,광주조선백자도요지,031-760-2541,2021-03-05,경기도 광주시 남종면 산수로 1642-1,경기도 광주시 남종면 분원리 116번지,12708,37.49625513,127.3034494
여주시,여주김영구가옥,,2021-03-05,경기도 여주시 대신면 보통리,경기도 여주시 대신면 보통리,12610,,
고양시,일산밤가시초가,031-908-6776,2021-03-05,경기도 고양시 일산동구 햇살로105번길 36-7,경기도 고양시 일산동구 정발산동 1313번지,10405,37.67019413,126.7803011
이천시,어재연장군생가,031-644-2114,2021-03-05,경기도 이천시 율면 일생로 897번길 22-47,경기도 이천시 율면 산성리 74번지,17423,37.04531482,127.5604117
하남시,유진오박사 생가터,031-795-1020,2021-03-05,경기도 하남시 상산곡동 512-2번지,경기도 하남시 상산곡동 512-2번지,13027,37.49235617,127.2315337
시흥시,생금집,031-310-6702,2021-03-05,경기도 시흥시 죽율로 45-32,경기도 시흥시 죽율동 765번지,15050,37.35059383,126.7582753
남양주시,여경구가옥,031-544-4058,2021-03-05,경기도 남양주시 진접읍 금강로 961번길 25-14,경기도 남양주시 진접읍 내곡리 286번지,12075,37.68700119,127.1582485
남양주시,다산정약용생가,031-576-9300,2021-03-05,경기도 남양주시 조안면 다산로 747번길 11,경기도 남양주시 조안면 능내리 94번지,12283,37.51627604,127.2990516
용인시,약천남구만 묘소,,2021-03-05,경기도 용인시 처인구 모현읍 초부리 90-7,경기도 용인시 처인구 모현읍 초부리 90-7,17037,37.31534576,127.2445113
용인시,용인 한산이씨 음애공파고택,,2021-03-05,"경기도 용인시 기흥구 지삼로198번길 30-4 (지곡동, 음애이자선생고택)",경기도 용인시 기흥구 지곡동 297-2번지 음애이자선생고택,17088,37.23831012,127.1344328
용인시,체재공 선생 뇌문비,,2021-03-05,경기도 용인시 처인구 역북동,경기도 용인시 처인구 역북동,,,
용인시,모현 지석묘,,2021-03-05,경기도 용인시 처인구 모현읍 왕산리,경기도 용인시 처인구 모현읍 왕산리,17035,,
의왕시,청계사 조정숙공사당기비,031-426-2670,2021-03-05,경기도 의왕시 청계동11,경기도 의왕시 청계동 11,16000,37.41207254,127.0348718
의왕시,청계사 동종 및 목판,031-429-2670,2021-03-05,경기도 의왕시 청계동 11,경기도 의왕시 청계동 11,16000,37.41207254,127.0348718
수원시,항미정,,2021-03-05,경기도 수원시 권선구 수인로 126(서둔동),경기도 수원시 권선구 서둔동 225-1번지,16429,37.27408577,126.98616
수원시,화령전,,2021-03-05,경기도 수원시 팔달구 신풍로 23번길 15,경기도 수원시 팔달구 신풍동 123번지,16258,37.2829952,127.0126094
안성시,3·1운동기념관,031-678-2475,2021-03-05,경기도 안성시 원곡면 만세로 868,경기도 안성시 원곡면 칠곡리 2-18번지,17555,37.06277925,127.1752866
광주시,현절사,031-760-4821,2021-03-05,경기도 광주시 남한산성로 732-42,경기도 광주시 남한산성면 산성리 310-1번지,12700,37.47793194,127.1905431
김포시,통진향교,031-989-4207,2021-03-05,경기도 김포시 월곶면 군하로 288-21,경기도 김포시 월곶면 군하리 220번지,10024,37.7169566,126.5501928
고양시,월산대군사당,031-8075-3390,2021-03-05,경기도 고양시 덕양구 호국로 1243-39,경기도 고양시 덕양구 신원동 427번지,10565,37.67601736,126.8728416
수원시,수원향교,031-228-3643,2021-03-05,경기도 수원시 팔달구 향교로 107-9,경기도 수원시 팔달구 교동 43번지,16463,37.27285258,127.0121333
용인시,동도사 석불좌상,,2021-03-05,경기도 용인시 처인구 이동면 어비리 동도사,경기도 용인시 처인구 이동읍 어비리 동도사,,,
가평군,미군참전기념비,031-580-2214,2021-03-05,경기도 가평군 북면 이곡리 산 123,경기도 가평군 북면 이곡리 산 123,12407,37.87981248,127.5259038
의왕시,이희승박사생가,031-452-8594,2021-03-05,경기도 의왕시 포일동 87-13 (양지편 마을 생가),경기도 의왕시 포일동 87-13 (양지편 마을 생가),16007,37.39202307,126.9925185
과천시,연주암 3층 석탑,02-3677-2065,2021-03-05,경기도 과천시 자하동길 64 (중앙동),경기도 과천시 중앙동 산12-1번지,13800,37.44112302,126.9644458
과천시,연주대,02-3677-2066,2021-03-05,경기도 과천시 자하동길 62,경기도 과천시 중앙동 85-2번지,13800,37.44448711,126.9648854
과천시,과천 관악산 육봉일명사지,,2021-03-05,경기도 과천시 중앙동 산 11,경기도 과천시 중앙동 산 11,13800,37.43638734,126.9729503
과천시,문원리 사지 석조보살 입상,,2021-03-05,경기도 과천시 교육원로 41,경기도 과천시 갈현동 산126-21번지,13841,37.42278948,126.9847839
과천시,효자 최사립정문,,2021-03-05,경기도 과천시 문원로 40-2,경기도 과천시 문원동 89-12번지,13828,37.42785388,127.0012961
성남시,봉국사 대광명전,,2021-03-05,경기도 성남시 수정구 태평로 79,경기도 성남시 수정구 태평동 216-2번지,13283,37.45035507,127.1354046
고양시,북한산성,031-968-5325,2021-03-05,경기도 고양시 덕양구 대서문길 375,경기도 고양시 덕양구 북한동 236번지,10582,37.64525071,126.9742396
하남시,이성산성,031-795-1020,2021-03-05,경기도 하남시 춘궁동 산36번지,경기도 하남시 춘궁동 산36번지,13016,37.52548554,127.1849023
포천시,반월성지,031-538-2114,2021-03-05,경기도 포천시 군내면 청군로3290번길 19,경기도 포천시 군내면 구읍리 산5-1번지,11152,37.89371189,127.2168805
파주시,오두산성,031-940-5831,2021-03-05,경기도 파주시 탄현면 성동리 산 86,경기도 파주시 탄현면 성동리 산 86,,37.77119412,126.6769906
이천시,설성산성,031-644-2114,2021-03-05,경기도 이천시 장호원읍 선읍리 931,경기도 이천시 장호원읍 선읍리 931,17415,37.14514887,127.5564039
오산시,금암리 지석묘군,031-8036-7648,2021-03-05,경기도 오산시 수목원로 449,경기도 오산시 금암동 520번지,18109,37.17235724,127.0489838
연천군,연천 은대리성,031-839-2061,2021-03-05,경기도 연천군 전곡읍 은대리,경기도 연천군 전곡읍 은대리,,,
