시군명,관광정보명,,,소재주소,,,,,전화번호,위도,경도
군포시,수리산산림욕장,,,경기도 군포시 산본동 산18-3외 39필지,,,,,031-387-7111,37.37344886,126.9261454
고양시,노고산,,,경기도 고양시 덕양구 효자동,,,,,,,
양평군,중원산,,,경기도 양평군 용문면,,,,,031-770-3311,,
여주시,양자산,,,경기도 여주시 산북면 하품리 651-3,,,,,031-770-2341,37.42839515,127.4142985
양주시,오봉산,,,경기도 양주시 장흥면 일대,,,,,,,
부천시,부천중앙공원,,,경기도 부천시 원미구 소향로 162,,,,,032-625-3496,37.50060486,126.7637176
포천시,비둘기낭폭포,,,경기도 포천시 영북면 대회산리 415-2,,,,,031-538-2312,38.07972946,127.2168241
가평군,가평용추계곡,,,경기도 가평군 가평읍 용추로 508-7,,,,,031-582-9068,,
가평군,무주채폭포,,,경기도 가평군 북면 적목리 산1-1,,,,,031-582-8830,37.97657839,127.4178628
가평군,용소폭포,,,경기도 가평군 북면 적목리 산4,,,,,031-582-8830,37.98765251,127.4545621
가평군,가평용추폭포,,,경기도 가평군 가평읍 승안리,,,,,031-582-0088,,
가평군,명지계곡,,,경기도 가평군 북면 적목리 산45,,,,,,37.987992,127.4429133
가평군,어비계곡,,,경기도 가평군 설악면 가일리,,,,,031-580-2114,,
가평군,익근리계곡,,,경기도 가평군 북면 도대리 708,,,,,,37.911665,127.4933795
가평군,수락폭포,,,경기도 가평군 가평읍 경반리,,,,,,,
가평군,운악계곡,,,경기도 가평군 하면 운악청계로589번길,,,,,,,
가평군,가평용추폭포,,,경기도 가평군 가평읍 승안리,,,,,031-582-0088,,
가평군,장재울계곡,,,경기도 가평군 하면 상판리,,,,,,,
양평군,상촌계곡,,,경기도 양평군 강상면 대석리,,,,,031-770-3045,,
포천시,지장산계곡,,,경기도 포천시 관인면 중리 산251-1,,,,,031-538-4652,,
양평군,세월계곡,,,경기도 양평군 강상면 세월리,,,,,,,
동두천시,왕방계곡,,,경기도 동두천시 탑동,,,,,031-860-2250,,
과천시,청계산계곡,,,경기도 과천시 막계동,,,,,,,
포천시,한탄강대교천현무암협곡,,,경기도 포천시 관인면 냉정리 1101,,,,,031-538-3129,38.17990627,127.2861771
가평군,백년폭포,,,경기도 가평군 하면 하판리,,,,,,,
가평군,귀목계곡,,,경기도 가평군 북면 제령리,,,,,,,
가평군,복호동폭포,,,경기도 가평군 북면 적목리 640,,,,,,37.98770988,127.4601912
포천시,선유담계곡,,,경기도 포천시 이동면 포화로 123,,,,,031-538-3363,38.07060845,127.3992169
파주시,운계폭포,,,경기도 파주시 적성면 감골길 48,,,,,031-940-4611,37.91216452,126.9521871
가평군,무우폭포,,,경기도 가평군 하면 하판리,,,,,,,
남양주시,비금계곡,,,경기도 남양주시 수동면 내방리,,,,,031-592-0088,,
양평군,명달리계곡,,,경기도 양평군 서종면 명달리,,,,,031-770-3164,,
연천군,동막계곡,,,경기도 연천군 연천읍 동막리 162-1,,,,,031-834-2061,38.10622097,127.116134
양주시,송추계곡,,,경기도 양주시 장흥면 울대리,,,,,,,
동두천시,탑동계곡,,,경기도 동두천시 탑동동,,,,,031-860-2250,,
포천시,직두리부부송,,,경기도 포천시 청군로2985번길 180,,,,,031-538-2106,37.85522582,127.2443325
군포시,철쭉동산,,,경기도 군포시 산본동 1152-10,,,,,031-390-0341,37.35544599,126.9252043
양주시,송추유원지,,,경기도 양주시 장흥면 울대리,,,,,,,
의정부시,원도봉유원지,,,경기도 의정부시 호원동 230-85,,,,,031-828-8000,37.70630504,127.0361022
가평군,유명산자연휴양림,,,경기도 가평군 설악면 유명산길 79-53,,,,,031-589-5487,37.59293591,127.4910626
양평군,설매재자연휴양림,,,경기도 양평군 옥천면 용천로 510,,,,,031-774-6959,37.55685463,127.5093521
가평군,청평자연휴양림,,,경기도 가평군 청평면 북한강로 2246번길 8-6,,,,,031-584-0528,37.71154352,127.4071592
양평군,산음자연휴양림,,,경기도 양평군 단월면 고북길 347,,,,,031-774-8133,37.59613913,127.5752068
가평군,칼봉산자연휴양림,,,경기도 가평군 가평읍 경반안로 454,,,,,031-8078-8062,37.83738172,127.4648486
남양주시,축령산자연휴양림,,,경기도 남양주시 수동면 축령산로 299,,,,,031-8008-6690,37.75477712,127.3132456
양평군,용문산자연휴양림,,,경기도 양평군 양평읍 약수사길 78-14,,,,,031-775-4005,37.51585047,127.5195199
의왕시,백운산,,,경기도 의왕시 왕곡로 257,,,,,031-452-8580,37.34760805,127.0021435
화성시,백미항,,,경기도 화성시 서신면 백미길 210-34,,,,,031-356-3379,37.14379856,126.6790365
화성시,화성호,,,경기도 화성시 서신면 궁평리 702,,,,,,37.11586347,126.6840735
이천시,마이산,,,경기도 이천시 율면 산양리 산33,,,,,,37.05404823,127.4897726
이천시,건지산,,,경기도 이천시 마장면 해월리 산 28-8,,,,,,37.21050397,127.3428954
이천시,백족산,,,경기도 이천시 장호원읍 어석리,,,,,,,
안성시,흔들바위,,,경기도 안성시 일죽면 종배길 115,,,,,031-677-1330,37.07496756,127.4493974
수원시,광교산 산림욕장,,,경기도 수원시 장안구 파장동,,,,,,,
광주시,태화산,,,경기도 광주시 도척면,,,,,031-760-2468,,
용인시,조비산,,,경기도 용인시 처인구 백암면,,,,,,,
용인시,수지 형제봉,,,경기도 용인시 수지구 동천동 인근,,,,,,,
용인시,법화산,,,경기도 용인시 기흥구 구성동,,,,,,,
용인시,매미산,,,경기도 용인시 기흥구 서농동,,,,,,,
용인시,문수산,,,경기도 용인시 처인구 모현면 동림리 81-4,,,,,,37.33809219,127.1870876
안성시,안성낙원역사공원,,,경기도 안성시 장기로 91번길 22,,,,,031-678-2744,,
안성시,서운산 자연휴양림,,,경기도 안성시 금광면 상중리 산 19번지,,,,,031-678-2913,36.9423835,127.3137534
안산시,노적봉 공원,,,경기도 안산시 상록구 성포동 산39-1,,,,,031-481-3179,37.3262017,126.8530703
광명시,서독산,,,경기도 광명시 일직동 산28,,,,,,37.42391373,126.8737081
과천시,청계산,,,경기도 과천시 막계동,,,,,02-3677-2343,,
가평군,아침고요가족동물원,,,경기도 가평군 상면 임초밤안골로 301,,,,,031-8078-7115,37.74849785,127.3610726
광명시,광명동굴,,,경기도 광명시 가학로 85번길 142,,,,,070-4277-8902,37.4246681,126.8634442
군포시,반월호수,,,경기도 군포시 청백리길 6,,,,,031-392-3000,37.36179557,126.9358414
군포시,초막골생태공원,,,경기도 군포시 초막골길 216,,,,,031-390-4051,37.354098,126.91912
포천시,산정호수,,,경기도 포천시 영북면 산정호수로411번길 89,,,,,031-532-6135,38.06887673,127.3221175
안성시,고삼호수,,,경기도 안성시 고삼면 월향리 102,,,,,031-673-9771,,
안성시,금광호수,,,경기도 안성시 금광면 금광리,,,,,031-673-9771,,
평택시,평택호관광단지,,,경기도 평택시 현덕면 평택호길 159,,,,,031-8024-8687,36.92144571,126.9222276
시흥시,칠리제저수지,,,경기도 시흥시 금이동 산120-1,,,,,031-314-8366,37.40318746,126.8485463
시흥시,마전달월저수지,,,경기도 시흥시 월곶동 산63-7,,,,,031-310-2334,37.37230323,126.7705866
용인시,용담저수지(사암지),,,경기도 용인시 처인구 원삼면 원양로 382-2,,,,,031-322-7860,37.19178878,127.3064047
여주시,신륵사관광지,,,경기도 여주시 신륵사길 73,,,,,031-885-2505,37.29742052,127.6599489
양주시,덕계저수지,,,경기도 양주시 덕계동 산7,,,,,031-864-6536,37.83066922,127.0390946
부천시,시민의강,,,경기도 부천시 부흥로 399,,,,,032-625-3563,37.49038125,126.7853557
포천시,포천 화적연,,,경기도 포천시 영북면 자일리 산115-2,,,,,031-538-2106,38.11625049,127.2663176
파주시,발랑저수지,,,경기도 파주시 광탄면 부흥로 596,,,,,031-950-3260,37.80606609,126.9080435
화성시,남양호(남양황라),,,경기도 화성시 우정읍 이화리 1604,,,,,031-369-2114,37.01598539,126.806229
포천시,고모리저수지,,,경기도 포천시 소흘읍 죽엽산로 452,,,,,031-538-4102,37.79458444,127.1648751
여주시,여강길,,,경기도 여주시 강변유원지길 105,,,,,031-884-9089,37.29364381,127.6663832
의왕시,백운호수,,,경기도 의왕시 학의동 340-1번지,,,,,***-****-****,37.38263703,127.0008608
연천군,백학저수지,,,경기도 연천군 백학면 저수지길 21,,,,,031-835-5470,38.03223021,126.9250521
파주시,공릉저수지,,,경기도 파주시 조리읍 장곡리 353,,,,,,37.75598453,126.8355609
양평군,도일봉,,,경기도 양평군 용문면 중원리,,,,,031-770-3311,,
이천시,원적산,,,경기도 이천시 백사면 경사리 427-1,,,,,,37.33728959,127.4527882
안성시,마이산,,,경기도 안성시 일죽면,,,,,031-678-2563,,
양주시,가나아트파크,,,경기도 양주시 장흥면 권율로 117,,,,,031-877-0500,37.72563761,126.9499668
광명시,안터생태공원,,,경기도 광명시 안재로 1번길 27,,,,,02-2619-1050,37.45933257,126.8698217
성남시,분당중앙공원,,,경기도 성남시 분당구 성남대로 550,,,,,031-729-4907,37.38030055,127.1211729
양평군,중미산,,,경기도 양평군 옥천면 중미산로 1152,,,,,031-770-2341,37.58323039,127.4585126
시흥시,소래산,,,경기도 시흥시 대야동 332-80,,,,,031-317-2000,37.44962931,126.7828814
가평군,유명산,,,경기도 가평군 설악면 유명산길 79-53,,,,,031-589-5487,37.59293591,127.4910626
화성시,입파도,,,경기도 화성시 우정읍 입파길 24-15,,,,,,37.10542961,126.5413848
화성시,제부도,,,경기도 화성시 서신면 제부리 224,,,,,031-369-1673,37.17182977,126.6209083
가평군,잣향기푸른숲,,,경기도 가평군 상면 축령로 289-146,,,,,031-8008-6769,37.76920966,127.3327955
포천시,운악산,,,경기도 포천시 화현면,,,,,,,
용인시,한택식물원,,,경기도 용인시 처인구 백암면 한택로 2,,,,,031-333-3558,37.09447577,127.4068597
연천군,허브빌리지,,,경기도 연천군 왕징면 북삼리 222,,,,,031-833-5100,38.08791515,127.0052072
김포시,현대유람선(아라뱃길),,,경기도 김포시 고촌읍 아라육로270번길 74,,,,,032-882-5555,37.59749842,126.7871304
용인시,광교산사계 ( 용인8경 중 제2경 ),,,경기도 용인시 수지구 신봉동,,,,,,,
과천시,관악산 둘레길,,,경기도 과천시 관문동,,,,,,,
양주시,장흥관광지,,,경기도 양주시 장흥면 권율로 193,,,,,031-828-9727,37.73281782,126.9492554
가평군,호명산,,,경기도 가평군 청평면 호명리,,,,,031-580-2481,,
양평군,화야산,,,경기도 양평군 서종면 노문리,,,,,031-770-3181,,
포천시,청계산,,,경기도 포천시 일동면 기산리,,,,,02-3677-2343,,
광주시,백마산,,,경기도 광주시 초월읍 도곡길 132-27,,,,,031-760-4774,37.3676013,127.2875341
구리시,아차산,,,경기도 구리시 아천동,,,,,02-450-1395,,
고양시,현달산(견달산),,,경기도 고양시 일산동구 식사동 산39-3,,,,,,,
고양시,덕양산,,,경기도 고양시 덕양구 성사동 산60-34,,,,,031-961-2580,,
안성시,칠현산,,,"경기도 안성시 죽산면, 금광면",,,,,031-677-1330,,
안성시,비봉산,,,경기도 안성시 보개면,,,,,031-678-2563,,
양평군,추읍산,,,경기도 양평군 용문면 삼성리,,,,,031-770-3341,,
양평군,삼각산,,,경기도 양평군 양동면,,,,,031-773-0088,,
양평군,소리산,,,경기도 양평군 단월면 석산리1,,,,,031-770-3191,37.6392176,127.6330451
이천시,정개산,,,경기도 이천시 신둔면 지석리 산35-5,,,,,,37.33265036,127.4154345
이천시,마국산,,,경기도 이천시 모가면 산내리 산65,,,,,,37.15187433,127.4581263
포천시,수원산,,,경기도 포천시 군내면 청군로2985번길 18,,,,,031-538-3341,37.86594734,127.2383835
포천시,주금산,,,경기도 포천시 내촌면 능곡청정길 50,,,,,031-538-2340,37.78367267,127.2412517
화성시,건달산,,,경기도 화성시 팔탄면 기천리 산77-1,,,,,,37.18474202,126.9190955
화성시,서봉산,,,경기도 화성시 향남읍 향봉로10번길 4,,,,,031-352-6678,37.13488129,126.9420791
가평군,대금산,,,경기도 가평군 가평읍 두밀리,,,,,031-580-2482,,
안양시,관악산산림욕장,,,경기도 안양시 동안구 평촌대로476번길 30-2,,,,,031-8045-2419,37.41473578,126.9556273
안양시,병목안산림욕장석탑,,,경기도 안양시 만안구 안양9동 산 79-3,,,,,031-8045-5591,37.36638757,126.9035874
가평군,계관산,,,경기도 가평군 가평읍 개곡리,,,,,,,
가평군,귀목봉,,,경기도 가평군 북면 적목리,,,,,031-580-2114,,
고양시,북한산,,,경기도 고양시 덕양구 대서문안길,,,,,02-909-0497,,
광명시,도덕산,,,경기도 광명시 광명동 산75번지 일대,,,,,02-2680-2339,37.46812521,126.8576482
의정부시,사패산,,,경기도 의정부시 망월로28번길 164-100,,,,,031-828-2343,37.70887207,127.0333747
파주시,고령산,,,경기도 파주시 광탄면 보광로 474번길 87,,,,,031-940-4612,37.75398146,126.9211842
파주시,삼봉산,,,경기도 파주시 법원읍 초리골길 278,,,,,031-940-4612,37.85680263,126.896043
남양주시,불암산,,,경기도 남양주시 별내면 화접리,,,,,02-950-3395,,
파주시,파평산,,,경기도 파주시 파평면 청송로 610번길 11,,,,,031-940-4612,37.94040362,126.8764678
동두천시,마차산,,,경기도 동두천시 안흥동,,,,,031-860-2416,,
남양주시,물맑음수목원,,,경기도 남양주시 수동면 지둔로307번길 47-4,,,,,031-590-4076,37.70576957,127.2956028
남양주시,남양주오남호수공원,,,경기도 남양주시 오남읍 오남리 산50-2,,,,,031-590-2416,37.69390757,127.2253369
양주시,국립아세안자연휴양림,,,경기도 양주시 백석읍 기산로 472,,,,,031-871-2796,37.77383049,126.9421724
양주시,나리농원,,,경기도 양주시 광사로 131-66,,,,,031-8082-7225,37.78580151,127.081828
평택시,진위천시민유원지불빛정원,,,경기도 평택시 진위면 진위서로 264-15,,,,,031-665-6231,37.09814524,127.0864815
파주시,마장호수출렁다리,,,경기도 파주시 광탄면 기산로 365,,,,,031-943-3928,37.7746781,126.9328095
남양주시,남양주 슬로시티길,,,경기도 남양주시 조안면 진중리,,,,,031-590-2799,,
구리시,구리 돌다리길 곱창골목,,,경기도 구리시 안골로103번길 41,,,,,031-550-2233,37.59918782,127.1414539
남양주시,남양주다산길,,,경기도 남양주시 고산로 184-1,,,,,031-590-2416,37.59393254,127.1855663
포천시,산정호수둘레길,,,경기도 포천시 영북면 산정호수로411번길 5,,,,,031-532-6135,38.0656132,127.3156844
수원시,수원공방거리,,,경기도 수원시 팔달구 행궁로,,,,,031-228-3643,,
평택시,평택소사벌카페거리,,,경기도 평택시 평남로 일대,,,,,031-8024-3232,,
안산시,바다향기수목원,,,경기도 안산시 단원구 대부황금로 399,,,,,031-8008-6795,37.22501815,126.6465053
경기도,아라걷기길,,,경기도 김포시 고촌읍 전호리,,,,,031-980-2489,,
시흥시,시흥늠내길 바다가아름다운길,,,경기도 시흥시 장현동,,,,,031-310-2907,,
여주시,여강길,,,경기도 여주시 단현동 119-1,,,,,031-884-9089,37.26516497,127.6796653
연천군,연천평화누리길,,,경기도 연천군 장남면,,,,,031-839-2061,,
시흥시,배곧한울공원,,,경기도 시흥시 정왕동 2590,,,,,031-488-6961,37.35465347,126.7020269
평택시,평택호관광지 수변데크 사색의 길,,,경기도 평택시 현덕면 평택호길 159,,,,,031-8024-8687,36.92144571,126.9222276
화성시,동탄호수공원,,,경기도 화성시 동탄순환대로 67,,,,,,,
화성시,화성실크로드,,,경기도 화성시 송산면,,,,,031-369-6021,,
파주시,파주 벽초지수목원,,,경기도 파주시 광탄면 부흥로 242,,,,,031-957-2004,37.80138473,126.8742193
파주시,파주 벽초지수목원,,,경기도 파주시 광탄면 부흥로 242,,,,,031-957-2004,37.80138473,126.8742193
파주시,파주 벽초지수목원,,,경기도 파주시 광탄면 부흥로 242,,,,,031-957-2004,37.80138473,126.8742193
가평군,가평 아침고요수목원,,,경기도 가평군 상면 수목원로 432,,,,,031-1544-6703,37.7439538,127.3525341
가평군,가평 아침고요수목원,,,경기도 가평군 상면 수목원로 432,,,,,031-1544-6703,37.7439538,127.3525341
광주시,광주 화담숲,,,경기도 광주시 도척면 도척윗로 278-1,,,,,031-8026-6666,37.34077038,127.2894273
광주시,광주 화담숲,,,경기도 광주시 도척면 도척윗로 278-1,,,,,031-8026-6666,37.34077038,127.2894273
광주시,광주 화담숲,,,경기도 광주시 도척면 도척윗로 278-1,,,,,031-8026-6666,37.34077038,127.2894273
양평군,양평 더그림,,,경기도 양평군 옥천면 사나사길 175,,,,,070-4257-2210,37.52914715,127.4970687
양평군,양평 더그림,,,경기도 양평군 옥천면 사나사길 175,,,,,070-4257-2210,37.52914715,127.4970687
양평군,양평 더그림,,,경기도 양평군 옥천면 사나사길 175,,,,,070-4257-2210,37.52914715,127.4970687
