시군명,관광정보명,전화번호,데이터기준일자,정제도로명주소,정제지번주소,정제우편번호,위도,경도
수원시,팔달사,031-256-7990,2021-03-05,경기도 수원시 팔달구 행궁로 68,경기도 수원시 팔달구 팔달로3가 116번지,16260,37.27630791,127.0150551
여주시,능원사,,2021-03-05,경기도 여주시 북내면 모양길 37,경기도 여주시 북내면 당우리 5-22번지,12613,37.34436958,127.6696563
고양시,태고사,02-384-5589,2021-03-05,경기도 고양시 덕양구 대서문길 406,경기도 고양시 덕양구 북한동 15번지,10582,37.64559229,126.9780913
안성시,용화사,031-672-8248,2021-03-05,경기도 안성시 금광면 한운길 313,경기도 안성시 금광면 한운리 산62번지,17537,36.9573625,127.3361149
성남시,봉국사,031-755-0329,2021-03-05,경기도 성남시 수정구 태평로 79,경기도 성남시 수정구 태평동 216-2번지,13283,37.45035507,127.1354046
남양주시,묘적사,031-577-1761,2021-03-05,경기도 남양주시 와부읍 월문리 222,경기도 남양주시 와부읍 월문리 222,12202,37.62347605,127.2613673
안양시,삼막사,031-472-3101,2021-03-05,경기도 안양시 만안구 삼막로 478,경기도 안양시 만안구 석수동 241-54번지,13910,37.43460973,126.9361431
군포시,수리사,031-438-1823,2021-03-05,경기도 군포시 속달로 347-181,경기도 군포시 속달동 329번지,15889,37.35410167,126.8964468
과천시,연주암,02-502-3234,2021-03-05,경기도 과천시 자하동길 63,경기도 과천시 중앙동 85-1번지,13800,37.44184609,126.9648816
안양시,망해암,031-443-5559,2021-03-05,경기도 안양시 만안구 임곡로 245,경기도 안양시 만안구 안양동 55-14번지,13916,37.41165822,126.9262129
안양시,안양사,031-471-4848,2021-03-05,경기도 안양시 만안구 예술공원로131번길 103,경기도 안양시 만안구 석수동 242-3번지,13912,37.42263586,126.9241514
군포시,용진사,031-394-6029,2021-03-05,경기도 군포시 수리산로 81-94,경기도 군포시 산본동 840-182번지,15867,37.35526538,126.9109359
안성시,국사암과 궁예미륵,031-672-3130,2021-03-05,경기도 안성시 삼죽면 텃곳실 80-100,경기도 안성시 삼죽면 텃곳실 80-100,,,
고양시,한미산흥국사약사전,031-8075-3388,2021-03-05,경기도 고양시 덕양구 흥국사길 82,경기도 고양시 덕양구 지축동 203번지,10580,37.66372337,126.9399362
오산시,보적사,031-372-3433,2021-03-05,경기도 오산시 독산성로269번길 144,경기도 오산시 지곶동 150번지,18102,37.18361826,127.0197829
평택시,서천사,031-663-8250,2021-03-05,경기도 평택시 고덕면 방축4길 22-49,경기도 평택시 고덕면 방축리 103-1번지,17821,37.01576206,127.044178
부천시,웅진플레이도시,031-1577-5773,2021-03-05,경기도 부천시 원미구 조마루로 2,경기도 부천시 상동 572-1번지,14592,37.49886674,126.7453849
여주시,썬밸리워터파크,031-880-3889,2021-03-05,경기도 여주시 강변유원지길 45,경기도 여주시 연양동 414번지,12634,37.29310135,127.6610454
이천시,테르메덴,031-645-2000,2021-03-05,경기도 이천시 모가면 사실로 988,경기도 이천시 모가면 신갈리 374번지,17406,37.19773088,127.4463182
여주시,여주참숯마을,031-886-1119,2021-03-05,경기도 여주시 강천면 걸촌동길 38,경기도 여주시 강천면 이호리 65-7번지,12616,37.2887617,127.6991685
포천시,일동용암천,031-536-4600,2021-03-05,경기도 포천시 일동면 수입로 46,경기도 포천시 일동면 수입리 69번지,11115,37.9742748,127.3261489
김포시,약암홍염천,031-989-7000,2021-03-05,경기도 김포시 대곶면 약암로 965-7,경기도 김포시 대곶면 약암리 481번지,10042,37.63856861,126.5522798
성남시,이일천랜드,031-737-6000,2021-03-05,경기도 성남시 중원구 사기막골로105번길 25 (상대원동),경기도 성남시 중원구 상대원동 144-5번지,13201,37.44048843,127.1735598
고양시,원마운트 워터파크,031-1566-2232,2021-03-05,경기도 고양시 일산서구 한류월드로 300 (대화동),경기도 고양시 일산서구 대화동 2606번지,10392,37.66455401,126.7545272
파주시,일산황토마루한증막,031-943-0990,2021-03-05,경기도 파주시 오도로130번길 37,경기도 파주시 오도동 274-2번지,10864,37.75226107,126.7183676
화성시,왕림성당,031-227-2811,2021-03-05,경기도 화성시 봉담읍 왕림1길 67,경기도 화성시 봉담읍 왕림리 220-1번지,18332,37.19581021,126.9331915
이천시,천주교어농성지,031-636-4061,2021-03-05,경기도 이천시 모가면 어농리,경기도 이천시 모가면 어농리,17406,,
하남시,구산성지,031-792-8540,2021-03-05,경기도 하남시 미사강변북로 99,경기도 하남시 망월동 387-10번지,12903,37.57224556,127.1887831
파주시,DMZ생태연구소,031-955-1550,2021-03-05,경기도 파주시 광인사길 111,경기도 파주시 문발동 507-7번지,10881,37.71263729,126.686075
연천군,열쇠전망대,031-839-2063,2021-03-05,경기도 연천군 신서면 동내로 1375-1,경기도 연천군 신서면 내산리 150-5번지,11002,38.15531906,127.1442039
파주시,통일촌장단콩마을,031-953-7600,2021-03-05,경기도 파주시 군내면 통일촌길 64,경기도 파주시 군내면 백연리 1475번지,10800,37.91071683,126.7333027
연천군,신탄리역 경원선,031-1544-7788,2021-03-05,경기도 연천군 신서면 고대산길 4,경기도 연천군 신서면 대광리 169-2번지,11001,38.21281235,127.138978
동두천시,자유수호평화박물관,031-860-3330,2021-03-05,경기도 동두천시 평화로 2910번길 96-63,경기도 동두천시 상봉암동 162-10번지,11307,37.94249045,127.0660896
여주시,썬밸리워터파크,031-880-3889,2021-03-05,경기도 여주시 강변유원지길 45,경기도 여주시 연양동 414번지,12634,37.29310135,127.6610454
동두천시,노르웨이참전기념비,031-860-3330,2021-03-05,경기도 동두천시 평화로 2910번길 96-63,경기도 동두천시 상봉암동 162-10번지,11307,37.94249045,127.0660896
김포시,애기봉전망대(출입통제),031-980-2480,2021-03-05,경기도 김포시 하성면 평화공원로 139,경기도 김포시 하성면 가금리 208번지,10004,37.74325041,126.5940653
파주시,임진각관광지,031-953-4744,2021-03-05,경기도 파주시 문산읍 임진각로 148-53,경기도 파주시 문산읍 마정리 1325번지,10808,37.89042966,126.7403709
가평군,뉴질랜드전투기념비,031-580-2066,2021-03-05,경기도 가평군 북면 목동리 691-1,경기도 가평군 북면 목동리 691-1,12403,37.89578422,127.5596575
파주시,자유의다리,031-940-4354,2021-03-05,경기도 파주시 문산읍 마정리 1297-16,경기도 파주시 문산읍 마정리 1297-16,10808,37.89068819,126.7391832
파주시,한미해병참전비,031-940-4391,2021-03-05,경기도 파주시 조리읍 장곡리 산 75-1,경기도 파주시 조리읍 장곡리 산 75-1,10941,37.73462577,126.8312868
연천군,열쇠전망대,031-839-2063,2021-03-05,경기도 연천군 신서면 동내로 1375-1,경기도 연천군 신서면 내산리 150-5번지,11002,38.15531906,127.1442039
동두천시,노르웨이참전기념비,031-860-3330,2021-03-05,경기도 동두천시 평화로 2910번길 96-63,경기도 동두천시 상봉암동 162-10번지,11307,37.94249045,127.0660896
연천군,신탄리역 경원선,031-1544-7788,2021-03-05,경기도 연천군 신서면 고대산길 4,경기도 연천군 신서면 대광리 169-2번지,11001,38.21281235,127.138978
파주시,오두산통일전망대,031-945-3171,2021-03-05,경기도 파주시 탄현면 필승로 369,경기도 파주시 탄현면 성동리 659번지,10862,37.77302559,126.6771018
파주시,해마루촌,***-****-****,2021-03-05,경기도 파주시 진동면 해마루길 111,경기도 파주시 진동면 동파리 1759번지,10800,37.92591747,126.7871459
파주시,도라전망대,031-954-0303,2021-03-05,경기도 파주시 장단면 제3땅굴로 310,경기도 파주시 장단면 도라산리 75-2번지,10800,37.90890549,126.7048144
파주시,경기평화센터,031-952-2167,2021-03-05,경기도 파주시 문산읍 임진각로 148-53,경기도 파주시 문산읍 마정리 1325번지,10808,37.89042966,126.7403709
동두천시,벨기에·룩셈부르크참전기념탑,,2021-03-05,경기도 동두천시 상봉암동 13,경기도 동두천시 상봉암동 13,11307,37.94618496,127.065227
파주시,도라산평화공원,031-953-4854,2021-03-05,경기도 파주시 장단면 제3땅굴로 310,경기도 파주시 장단면 도라산리 75-2번지,10800,37.90890549,126.7048144
연천군,임진강 평화습지원,031-839-2114,2021-03-05,경기도 연천군 중면 횡산리 186,경기도 연천군 중면 횡산리 186,11004,38.12085123,126.9887639
파주시,제3땅굴,031-954-0303,2021-03-05,경기도 파주시 군내면 제3땅굴로 210-358,경기도 파주시 군내면 점원리 1082-1번지,10800,37.91640324,126.6991295
용인시,화운사,031-337-2576,2021-03-05,경기도 용인시 처인구 동백죽전대로 111-14,경기도 용인시 처인구 삼가동 33-1번지,16997,37.25344341,127.1612992
양주시,육지장사,031-871-0101,2021-03-05,경기도 양주시 백석읍 기산로471번길 190,경기도 양주시 백석읍 기산리 294-3번지,11518,37.78366272,126.9438474
포천시,자인사,031-532-6141,2021-03-05,경기도 포천시 영북면 산정호수로 808,경기도 포천시 영북면 산정리 71번지,11103,38.07361624,127.3273506
김포시,금정사,031-984-3235,2021-03-05,경기도 김포시 승가로 125,경기도 김포시 풍무동 669번지,10118,37.60742595,126.708545
남양주시,석천암,031-527-8988,2021-03-05,경기도 남양주시 불암산로 175,경기도 남양주시 별내동 산97번지,12100,37.65734006,127.1013921
고양시,국녕사,02-387-0743,2021-03-05,경기도 고양시 덕양구 대서문길 268,경기도 고양시 덕양구 북한동 416-8번지,10582,37.64699087,126.9623703
남양주시,내원암,031-841-8794,2021-03-05,경기도 남양주시 별내면 순화궁로909번길 104,경기도 남양주시 별내면 청학리 579번지,12089,37.7003303,127.0873112
파주시,파주 제3땅굴,031-940-8526,2021-03-05,경기도 파주시 군내면 제3땅굴로 210-358,경기도 파주시 군내면 점원리 1082-1번지,10800,37.91640324,126.6991295
파주시,파주 제3땅굴,031-940-8526,2021-03-05,경기도 파주시 군내면 제3땅굴로 210-358,경기도 파주시 군내면 점원리 1082-1번지,10800,37.91640324,126.6991295
파주시,파주 제3땅굴,031-940-8526,2021-03-05,경기도 파주시 군내면 제3땅굴로 210-358,경기도 파주시 군내면 점원리 1082-1번지,10800,37.91640324,126.6991295
용인시,한국민속촌,031-288-0000,2021-03-05,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35번지,17075,37.25816601,127.1195074
용인시,한국민속촌,031-288-0000,2021-03-05,경기도 용인시 기흥구 민속촌로 90,경기도 용인시 기흥구 보라동 35번지,17075,37.25816601,127.1195074
용인시,용인 대장금파크,031-337-3241,2021-03-05,경기도 용인시 처인구 백암면 용천로 330,경기도 용인시 처인구 백암면 용천리 778-1번지,17182,37.11944206,127.3370944
용인시,용인 대장금파크,031-337-3241,2021-03-05,경기도 용인시 처인구 백암면 용천로 330,경기도 용인시 처인구 백암면 용천리 778-1번지,17182,37.11944206,127.3370944
용인시,용인 대장금파크,031-337-3241,2021-03-05,경기도 용인시 처인구 백암면 용천로 330,경기도 용인시 처인구 백암면 용천리 778-1번지,17182,37.11944206,127.3370944
파주시,임진각-내일의 기적소리,031-956-8305,2021-03-05,경기도 파주시 문산읍 마정리 1400-5일원,경기도 파주시 문산읍 마정리 1400-5일원,,37.89037638,126.7367402
파주시,헤이리딸기가좋아,031-949-9273,2021-03-05,경기도 파주시 탄현면 헤이리마을길 93-75,경기도 파주시 탄현면 법흥리 1652-23번지,10859,37.79143608,126.6962395
양주시,두리랜드,031-855-8515,2021-03-05,경기도 양주시 장흥면 권율로 120,경기도 양주시 장흥면 일영리 44-18번지,11520,37.72463808,126.9501671
용인시,보구정사,031-282-0049,2021-03-05,경기도 용인시 기흥구 동백중앙로54번길 50,경기도 용인시 기흥구 중동 95-4번지,17014,37.26378052,127.1669708
이천시,천주교단내 성가정성지,031-633-9531,2021-03-05,경기도 이천시 호법면 이섭대천로155번길 38-13,경기도 이천시 호법면 단천리 357번지,17395,37.21969067,127.3947018
포천시,원통사,031-536-3818,2021-03-05,경기도 포천시 일동면 화동로 738-1,경기도 포천시 일동면 유동리 산12-6번지,11122,37.93251102,127.32165
